taxon_crisp,taxon_sp,taxon,series
P1_MR_Eucalyptus_dwyei_10644_P1_MR_H08,Eucalyptus_dwyeri,Eucalyptus_dwyeri,Exsertae
Euc_P6_Eucalyptus_dwyei_9406593_D01,Eucalyptus_dwyeri,Eucalyptus_dwyeri,Exsertae
P1_MR_Eucalyptus_gillenii_10623_P1_MR_D07,Eucalyptus_gillenii,Eucalyptus_gillenii,Exsertae
P1_MR_Eucalyptus_hebertiana_10559_P1_MR_B04,Eucalyptus_herbertiana,Eucalyptus_herbertiana,Exsertae
P4_MR_Eucalyptus_houseana_10570_P4_MR_F05,Eucalyptus_houseana,Eucalyptus_houseana,Exsertae
P4_MR_Eucalyptus_infea_11489_P4_MR_C03,Eucalyptus_infera,Eucalyptus_infera,Exsertae
P3_MR_Eucalyptus_kabiana_11399_P3_MR_H07,Eucalyptus_kabiana,Eucalyptus_kabiana,Exsertae
P13_MR_Eucalyptus_lockyei,Eucalyptus_lockyeri,Eucalyptus_lockyeri,Exsertae
Euc_P6_Eucalyptus_lockyei,Eucalyptus_lockyeri,Eucalyptus_lockyeri,Exsertae
P13_MR_Eucalyptus_platyphylla_11600_P13_MR_D04,Eucalyptus_platyphylla,Eucalyptus_platyphylla,Exsertae
P13_MR_Eucalyptus_platyphylla_11653_P13_MR_C10,Eucalyptus_platyphylla,Eucalyptus_platyphylla,Exsertae
euc_tereticornis_Cs769_P12MR_8,Eucalyptus_tereticornis,Eucalyptus_tereticornis,Exsertae
Euc_P4_Eucalyptus_balanopelex_AHT,Eucalyptus_balanopelex,Eucalyptus_balanopelex,Falcatae
P1_MR_Eucalyptus_coopeiana_10716_P1_MR_C09,Eucalyptus_cooperiana,Eucalyptus_cooperiana,Falcatae
Euc_P2_Eucalyptus_kessellii,Eucalyptus_kessellii,Eucalyptus_kessellii,Falcatae
P3_MR_Eucalyptus_kessellii_11348_P3_MR_B04,Eucalyptus_kessellii,Eucalyptus_kessellii,Falcatae
Euc_P6_Eucalyptus_petensis_456210_E07,Eucalyptus_petrensis,Eucalyptus_petrensis,Falcatae
Euc_P4_Eucalyptus_pupurata_83_H05,Eucalyptus_purpurata,Eucalyptus_purpurata,Falcatae
Euc_P4_Eucalyptus_ecta_751_F11,Eucalyptus_recta,Eucalyptus_recta,Falcatae
Euc_P4_Eucalyptus_bookeriana,Eucalyptus_brookeriana,Eucalyptus_brookeriana,Foveolatae
Euc_P6_Eucalyptus_cadens_285_G01,Eucalyptus_cadens,Eucalyptus_cadens,Foveolatae
Euc_P2_Eucalyptus_camphoa,Eucalyptus_camphora,Eucalyptus_camphora,Foveolatae
Euc_P6_Eucalyptus_camphoa,Eucalyptus_camphora,Eucalyptus_camphora,Foveolatae
Euc_P8_Eucalyptus_ovata,Eucalyptus_ovata,Eucalyptus_ovata,Foveolatae
Euc_P6_Eucalyptus_odwayi_62705_D08,Eucalyptus_rodwayi,Eucalyptus_rodwayi,Foveolatae
Euc_P6_Eucalyptus_delegatensis,Eucalyptus_delegatensis,Eucalyptus_delegatensis,Fraxinales
Euc_P6_Eucalyptus_leptocalyx,Eucalyptus_leptocalyx,Eucalyptus_leptocalyx,Furfuraceae
Euc_P4_Eucalyptus_leptocalyx,Eucalyptus_leptocalyx,Eucalyptus_leptocalyx,Furfuraceae
P1_MR_Eucalyptus_platycoys_10748_P1_MR_C10,Eucalyptus_platycorys,Eucalyptus_platycorys,Furfuraceae
euc_globulus_CANB494954_P12MR_33,Eucalyptus_globulus,Eucalyptus_globulus,Globulares
euc_globulus_CANB688145_P12MR_35,Eucalyptus_globulus,Eucalyptus_globulus,Globulares
Euc_P2_Eucalyptus_goniocalyx,Eucalyptus_goniocalyx,Eucalyptus_goniocalyx,Globulares
P13_MR_Eucalyptus_magnificata_11576_P13_MR_D01,Eucalyptus_magnificata,Eucalyptus_magnificata,Heterophloiae
Euc_P6_Eucalyptus_polyanthemos,Eucalyptus_polyanthemos,Eucalyptus_polyanthemos,Heterophloiae
euc_extrica_CANB632680_P12MR_32,Eucalyptus_extrica,Eucalyptus_extrica,Heteropterae
P4_MR_Eucalyptus_gongylocapa_11097_P4_MR_A08,Eucalyptus_gongylocarpa,Eucalyptus_gongylocarpa,Heteropterae
P1_MR_Eucalyptus_jucunda_10837_P1_MR_F11,Eucalyptus_jucunda,Eucalyptus_jucunda,Heteropterae
P4_MR_Eucalyptus_odontocapa_10608_P4_MR_D06,Eucalyptus_odontocarpa,Eucalyptus_odontocarpa,Heteropterae
euc_pleurocarpa_Cs431_P12MR_15,Eucalyptus_pleurocarpa,Eucalyptus_pleurocarpa,Heteropterae
euc_selachiana_CANB632673_P12MR_37,Eucalyptus_selachiana,Eucalyptus_selachiana,Heteropterae
euc_selachiana_CANB693174_P12MR_38,Eucalyptus_selachiana,Eucalyptus_selachiana,Heteropterae
P4_MR_Eucalyptus_calycogona,Eucalyptus_calycogona,Eucalyptus_calycogona,Heterostemones
Euc_P4_Eucalyptus_calycogona,Eucalyptus_calycogona,Eucalyptus_calycogona,Heterostemones
Euc_P6_Eucalyptus_celastoides,Eucalyptus_celastroides,Eucalyptus_celastroides,Heterostemones
Euc_P2_Eucalyptus_gacilis_202_F04,Eucalyptus_gracilis,Eucalyptus_gracilis,Heterostemones
euc_insularis_Cs275_P12MR_39,Eucalyptus_insularis,Eucalyptus_insularis,Insulares
euc_insularis_CANB413807_P12MR_40,Eucalyptus_insularis,Eucalyptus_insularis,Insulares
Euc_P8_Coymbia_bleeseri_MC,Corymbia_bleeseri,Corymbia_bleeseri,Isobilaterales
P3_MR_Coymbia_chippendalei_11431_P3_MR_G10,Corymbia_chippendalei,Corymbia_chippendalei,Isobilaterales
Euc_P8_Coymbia_collina_MC,Corymbia_collina,Corymbia_collina,Isobilaterales
P1_MR_Coymbia_collina_10563_P1_MR_E04,Corymbia_collina,Corymbia_collina,Isobilaterales
P4_MR_Coymbia_dichromophloia_10528_P4_MR_B05,Corymbia_dichromophloia,Corymbia_dichromophloia,Isobilaterales
P13_MR_Coymbia_ellipsoidea_11651_P13_MR_A10,Corymbia_ellipsoidea,Corymbia_ellipsoidea,Isobilaterales
P1_MR_Coymbia_eremaea_terminalis,Corymbia_eremaea,Coymbia_eremaea_terminalis,Isobilaterales
P1_MR_Coymbia_eremaea_10624_P1_MR_E07,Corymbia_eremaea,Corymbia_eremaea,Isobilaterales
Euc_P6_Coymbia_eremaea,Corymbia_eremaea,Corymbia_eremaea,Isobilaterales
P13_MR_Coymbia_erythrophloia_11626_P13_MR_D07,Corymbia_erythrophloia,Corymbia_erythrophloia,Isobilaterales
P4_MR_Coymbia_hamersleyana_11131_P4_MR_F08,Corymbia_hamersleyana,Corymbia_hamersleyana,Isobilaterales
Euc_P8_Coymbia_hamersleyana_MC,Corymbia_hamersleyana,Corymbia_hamersleyana,Isobilaterales
P1_MR_Coymbia_latifolia_10550_P1_MR_F03,Corymbia_latifolia,Corymbia_latifolia,Isobilaterales
P1_MR_Coymbia_lenziana_10771_P1_MR_C11,Corymbia_lenziana,Corymbia_lenziana,Isobilaterales
P1_MR_Coymbia_nesophila_10553_P1_MR_H03,Corymbia_nesophila,Corymbia_nesophila,Isobilaterales
Euc_P8_Coymbia_nesophila_MC,Corymbia_nesophila,Corymbia_nesophila,Isobilaterales
P1_MR_Coymbia_terminalis_10525_P1_MR_G02,Corymbia_terminalis,Corymbia_terminalis,Isobilaterales
P1_MR_Coymbia_terminalis_10579_P1_MR_C05,Corymbia_terminalis,Corymbia_terminalis,Isobilaterales
P1_MR_Coymbia_terminalis_10621_P1_MR_B07,Corymbia_terminalis,Corymbia_terminalis,Isobilaterales
P3_MR_Coymbia_terminalis_11422_P3_MR_F09,Corymbia_terminalis,Corymbia_terminalis,Isobilaterales
P1_MR_Coymbia_terminalis_10580_P1_MR_D05,Corymbia_terminalis,Corymbia_terminalis,Isobilaterales
P4_MR_Eucalyptus_jacksonii_10952_P4_MR_G07,Eucalyptus_jacksonii,Eucalyptus_jacksonii,Jacksoniae
Euc_P2_Eucalyptus_etusa_726_G04,Eucalyptus_retusa,Eucalyptus_retusa,Lehmannianae
Euc_P2_Eucalyptus_talyubelup_724_E06,Eucalyptus_talyuberlup,Eucalyptus_talyuberlup,Lehmannianae
Euc_P4_Eucalyptus_gisea_690_G03,Eucalyptus_grisea,Eucalyptus_grisea,Lepidotae-Fimbriatia
Euc_P2_Eucalyptus_longiostrata_649_E02,Eucalyptus_longirostrata,Eucalyptus_longirostrata,Lepidotae-Fimbriatia
Euc_P4_Eucalyptus_punctata_387_C08,Eucalyptus_punctata,Eucalyptus_punctata,Lepidotae-Fimbriatia
P4_MR_Eucalyptus_aachnea,Eucalyptus_arachnae,Eucalyptus_arachnae,Levispermae
Euc_P2_Eucalyptus_clivicola_66_H07,Eucalyptus_clivicola,Eucalyptus_clivicola,Levispermae
Euc_P6_Eucalyptus_hebetifolia_467228_E01,Eucalyptus_hebetifolia,Eucalyptus_hebetifolia,Levispermae
Euc_P2_Eucalyptus_histophylla_12_B02,Eucalyptus_histophylla,Eucalyptus_histophylla,Levispermae
Euc_P6_Eucalyptus_subangusta,Eucalyptus_subangusta,Eucalyptus_subangusta,Levispermae
P4_MR_Eucalyptus_subangusta,Eucalyptus_subangusta,Eucalyptus_subangusta,Levispermae
Euc_P6_Eucalyptus_wandoo,Eucalyptus_wandoo,Eucalyptus_wandoo,Levispermae
P4_MR_Eucalyptus_bancoftii_11494_P4_MR_H03,Eucalyptus_bancroftii,Eucalyptus_bancroftii,Liberivalvae
Euc_P2_Eucalyptus_disclusa_232_H06,Eucalyptus_disclusa,Eucalyptus_disclusa,Liberivalvae
Euc_P6_Eucalyptus_paramattensis,Eucalyptus_parramattensis,Eucalyptus_parramattensis,Liberivalvae
Euc_P4_Eucalyptus_seeana_630_B03,Eucalyptus_seeana,Eucalyptus_seeana,Liberivalvae
euc_moorei_Cs574_P12MR_28,Eucalyptus_moorei,Eucalyptus_moorei,Longitudinales
Euc_P4_Eucalyptus_aticulata_186_C06,Eucalyptus_articulata,Eucalyptus_articulata,Loxophlebae
Euc_P6_Eucalyptus_loxophleba,Eucalyptus_loxophleba,Eucalyptus_loxophleba,Loxophlebae
Euc_P6_Eucalyptus_petaea_63_C02,Eucalyptus_petraea,Eucalyptus_petraea,Lucasianae
P1_MR_Eucalyptus_petaea_10727_P1_MR_F09,Eucalyptus_petraea,Eucalyptus_petraea,Lucasianae
Euc_P8_Coymbia_maculata_ANBG,Corymbia_maculata,Corymbia_maculata,Maculatae
P1_MR_Eucalyptus_agophloia_10634_P1_MR_G07,Eucalyptus_argophloia,Eucalyptus_argophloia,Melliodorae
Euc_P2_Eucalyptus_bosistoana_671_F02,Eucalyptus_bosistoana,Eucalyptus_bosistoana,Melliodorae
P1_MR_Eucalyptus_bevifolia_10584_P1_MR_F05,Eucalyptus_brevifolia,Eucalyptus_brevifolia,Melliodorae
P4_MR_Eucalyptus_bevifolia_10523_P4_MR_D12,Eucalyptus_brevifolia,Eucalyptus_brevifolia,Melliodorae
P1_MR_Eucalyptus_confluens_10578_P1_MR_B05,Eucalyptus_confluens,Eucalyptus_confluens,Melliodorae
Euc_P8_Eucalyptus_leucophloia,Eucalyptus_leucophloia,Eucalyptus_leucophloia,Melliodorae
Euc_P6_Eucalyptus_leucophloia,Eucalyptus_leucophloia,Eucalyptus_leucophloia,Melliodorae
euc_leucoxylon_Cs716_P12MR_1,Eucalyptus_leucoxylon,Eucalyptus_leucoxylon,Melliodorae
P1_MR_Eucalyptus_sideoxylon,Eucalyptus_sideroxylon,Eucalyptus_sideroxylon,Melliodorae
Euc_P6_Eucalyptus_sideoxylon_750609_B08,Eucalyptus_sideroxylon,Eucalyptus_sideroxylon,Melliodorae
Euc_P6_Eucalyptus_ticarpa_8701791_E08,Eucalyptus_tricarpa,Eucalyptus_tricarpa,Melliodorae
P2_MR_Eucalyptus_merickiae_11041_P2_MR_C03,Eucalyptus_merrickiae,Eucalyptus_merrickiae,Merrickianae
Euc_P6_Eucalyptus_mannensis,Eucalyptus_mannensis,Eucalyptus_mannensis,Micrantherae
P1_MR_Eucalyptus_mannensis,Eucalyptus_mannensis,Eucalyptus_mannensis,Micrantherae
P13_MR_Eucalyptus_chataboma_11603_P13_MR_G04,Eucalyptus_chartaboma,Eucalyptus_chartaboma,Miniatae
P13_MR_Eucalyptus_chataboma_11615_P13_MR_A06,Eucalyptus_chartaboma,Eucalyptus_chartaboma,Miniatae
P4_MR_Eucalyptus_miniata_10511_P4_MR_F04,Eucalyptus_miniata,Eucalyptus_miniata,Miniatae
P4_MR_Eucalyptus_phoenicia_10527_P4_MR_A05,Eucalyptus_phoenicea,Eucalyptus_phoenicea,Miniatae
P1_MR_Eucalyptus_maginata_10941_P1_MR_B12,Eucalyptus_marginata,Eucalyptus_marginata,Occidentales
P1_MR_Eucalyptus_maginata,Eucalyptus_marginata,Eucalyptus_marginata,Occidentales
euc_staeri_Cs366_P12MR_21,Eucalyptus_staeri,Eucalyptus_staeri,Occidentales
Euc_P2_Eucalyptus_aequiopeta_23_E05,Eucalyptus_aequioperta,Eucalyptus_aequioperta,Ovulares
Euc_P8_Eucalyptus_aenacea_MC,Eucalyptus_arenacea,Eucalyptus_arenacea,Pachyphloiae
P4_MR_Eucalyptus_aenacea_10652_P4_MR_A07,Eucalyptus_arenacea,Eucalyptus_arenacea,Pachyphloiae
P8_MR_Eucalyptus_camfieldii_11499_P8_MR_H11,Eucalyptus_camfieldii,Eucalyptus_camfieldii,Pachyphloiae
euc_globoidea_Cs729_P12MR_4,Eucalyptus_globoidea,Eucalyptus_globoidea,Pachyphloiae
Euc_P4_Eucalyptus_laevopinea_245_D04,Eucalyptus_laevopinea,Eucalyptus_laevopinea,Pachyphloiae
P13_MR_Eucalyptus_ligustina_11666_P13_MR_H11,Eucalyptus_ligustrina,Eucalyptus_ligustrina,Pachyphloiae
P13_MR_Eucalyptus_ligustina_11671_P13_MR_D12,Eucalyptus_ligustrina,Eucalyptus_ligustrina,Pachyphloiae
Euc_P4_Eucalyptus_mckieana_248_D10,Eucalyptus_mckieana,Eucalyptus_mckieana,Pachyphloiae
Euc_P8_Eucalyptus_seraensis_MC,Eucalyptus_serraensis,Eucalyptus_serraensis,Pachyphloiae
Euc_P2_Eucalyptus_tenella_763_H08,Eucalyptus_tenella,Eucalyptus_tenella,Pachyphloiae
Euc_P2_Eucalyptus_victoiana_712_B04,Eucalyptus_victoriana,Eucalyptus_victoriana,Pachyphloiae
P1_MR_Eucalyptus_patens_10934_P1_MR_A12,Eucalyptus_patens,Eucalyptus_patens,Patentes
Euc_P8_Eucalyptus_paucifloa,Eucalyptus_pauciflora,Eucalyptus_pauciflora,Pauciflorae
Euc_P4_Eucalyptus_albida_46_F06,Eucalyptus_albida,Eucalyptus_albida,Porantherae
Euc_P4_Eucalyptus_fomanii_AHT,Eucalyptus_formanii,Eucalyptus_formanii,Porantherae
P8_MR_Eucalyptus_salicola_11369_P8_MR_F12,Eucalyptus_salicola,Eucalyptus_salicola,Porantherae
Euc_P6_Eucalyptus_uncinata,Eucalyptus_uncinata,Eucalyptus_uncinata,Porantherae
Euc_P2_Eucalyptus_consideniana_219_E01,Eucalyptus_consideniana,Eucalyptus_consideniana,Psathyroxyla
euc_pilularis_Cs482_P12MR_17,Eucalyptus_pilularis,Eucalyptus_pilularis,Pseudostringybarks
Euc_P6_Eucalyptus_pyocarpa_630205_G12,Eucalyptus_pyrocarpa,Eucalyptus_pyrocarpa,Pseudostringybarks
euc_pumila_Cs227_P12MR_7,Eucalyptus_pumila,Eucalyptus_pumila,Pumilae
Euc_P2_Eucalyptus_quadangulata_234_F08,Eucalyptus_quadrangulata,Eucalyptus_quadrangulata,Quadrangulatae
Euc_P8_Eucalyptus_elata_ANBG,Eucalyptus_elata,Eucalyptus_elata,Radiatae
Euc_P6_Eucalyptus_adiata,Eucalyptus_radiata,Eucalyptus_radiata,Radiatae
Euc_P8_Eucalyptus_adiata,Eucalyptus_radiata,Eucalyptus_radiata,Radiatae
euc_willisii_Cs492_P12MR_29,Eucalyptus_willisii,Eucalyptus_willisii,Radiatae
Euc_P4_Eucalyptus_decolo_486_D05,Eucalyptus_decolor,Eucalyptus_decolor,Rhodoxyla
Euc_P2_Eucalyptus_dua_775_G06,Eucalyptus_dura,Eucalyptus_dura,Rhodoxyla
Euc_P6_Eucalyptus_fusifomis_8604718_D11,Eucalyptus_fusiformis,Eucalyptus_fusiformis,Rhodoxyla
P13_MR_Eucalyptus_melanoleuca_11578_P13_MR_F01,Eucalyptus_melanoleuca,Eucalyptus_melanoleuca,Rhodoxyla
P13_MR_Eucalyptus_sicilifolia_11592_P13_MR_D03,Eucalyptus_sicilifolia,Eucalyptus_sicilifolia,Rhodoxyla
Euc_P6_Eucalyptus_sicilifolia_8603421_D12,Eucalyptus_sicilifolia,Eucalyptus_sicilifolia,Rhodoxyla
Euc_P6_Eucalyptus_suffulgens_8603520_E11,Eucalyptus_suffulgens,Eucalyptus_suffulgens,Rhodoxyla
P9_MR_Eucalyptus_suffulgens_11556_P9_MR_E12,Eucalyptus_suffulgens,Eucalyptus_suffulgens,Rhodoxyla
P13_MR_Eucalyptus_suffulgens_11589_P13_MR_A03,Eucalyptus_suffulgens,Eucalyptus_suffulgens,Rhodoxyla
Euc_P8_Eucalyptus_pellita_ANBG,Eucalyptus_pellita,Eucalyptus_pellita,Robustae
P4_MR_Eucalyptus_obusta_11492_P4_MR_F03,Eucalyptus_robusta,Eucalyptus_robusta,Robustae
Euc_P6_Eucalyptus_distubeosa,Eucalyptus_distuberosa,Eucalyptus_distuberosa,Rufispermae
Euc_P6_Eucalyptus_faseri,Eucalyptus_fraseri,Eucalyptus_fraseri,Rufispermae
Euc_P6_Eucalyptus_fenchiana_11_E03,Eucalyptus_frenchiana,Eucalyptus_frenchiana,Rufispermae
Euc_P4_Eucalyptus_valens_478_B05,Eucalyptus_valens,Eucalyptus_valens,Rufispermae
P4_MR_Coymbia_aparrerinja_10615_P4_MR_F06,Corymbia_aparrerinja,Corymbia_aparrerinja,Scutiformes
P4_MR_Coymbia__blakei_11483_P4_MR_F02,Corymbia_blakei,Corymbia_blakei,Scutiformes
P1_MR_Coymbia_confertiflora_10520_P1_MR_D02,Corymbia_confertiflora,Corymbia_confertiflora,Scutiformes
P13_MR_Coymbia_dallachiana_11591_P13_MR_C03,Corymbia_dallachiana,Corymbia_dallachiana,Scutiformes
P13_MR_Coymbia_dallachiana_11616_P13_MR_B06,Corymbia_dallachiana,Corymbia_dallachiana,Scutiformes
P4_MR_Coymbia_ferriticola_11117_P4_MR_C08,Corymbia_ferriticola,Corymbia_ferriticola,Scutiformes
P1_MR_Coymbia_flavescens_10566_P1_MR_G04,Corymbia_flavescens,Corymbia_flavescens,Scutiformes
P13_MR_Coymbia_gilbertensis_11609_P13_MR_C05,Corymbia_gilbertensis,Corymbia_gilbertensis,Scutiformes
P1_MR_Coymbia_grandifolia_10526_P1_MR_H02,Corymbia_grandifolia,Corymbia_grandifolia,Scutiformes
