thornhill_tip_label,taxon,taxon_sp
Eucalyptus_acies_CANB_610687,Eucalyptus_acies,Eucalyptus_acies
Eucalyptus_buprestium_CANB_632568,Eucalyptus_buprestium,Eucalyptus_buprestium
Eucalyptus_erectifolia_CANB_794270,Eucalyptus_erectifolia,Eucalyptus_erectifolia
Eucalyptus_preissiana_subsp_preissiana_422,Eucalyptus_preissiana_preissiana,Eucalyptus_preissiana
Eucalyptus_sepulcralis_CANB_378343,Eucalyptus_sepulcralis,Eucalyptus_sepulcralis
Eucalyptus_umbra_ANBG_60074,Eucalyptus_umbra,Eucalyptus_umbra
Eucalyptus_carnea_718,Eucalyptus_carnea,Eucalyptus_carnea
Eucalyptus_apothalassica_721925,Eucalyptus_apothalassica,Eucalyptus_apothalassica
Eucalyptus_rubiginosa_654,Eucalyptus_rubiginosa,Eucalyptus_rubiginosa
Eucalyptus_latisinensis_247,Eucalyptus_latisinensis,Eucalyptus_latisinensis
Eucalyptus_amygdalina_CANB_481986,Eucalyptus_amygdalina,Eucalyptus_amygdalina
Eucalyptus_acmenoides_624,Eucalyptus_acmenoides,Eucalyptus_acmenoides
Eucalyptus_sphaerocarpa_606,Eucalyptus_sphaerocarpa,Eucalyptus_sphaerocarpa
Eucalyptus_victoriana_712,Eucalyptus_victoriana,Eucalyptus_victoriana
Eucalyptus_serraensis_MC_10646,Eucalyptus_serraensis,Eucalyptus_serraensis
Eucalyptus_verrucata_715,Eucalyptus_verrucata,Eucalyptus_verrucata
Eucalyptus_stenostoma_733,Eucalyptus_stenostoma,Eucalyptus_stenostoma
Eucalyptus_racemosa_732766,Eucalyptus_racemosa,Eucalyptus_racemosa
Eucalyptus_tindaliae_ANBG_69620,Eucalyptus_tindaliae,Eucalyptus_tindaliae
Eucalyptus_remota_ANBG_9807783,Eucalyptus_remota,Eucalyptus_remota
Eucalyptus_risdonii_620,Eucalyptus_risdonii,Eucalyptus_risdonii
Eucalyptus_pulchella_612,Eucalyptus_pulchella,Eucalyptus_pulchella
Eucalyptus_arenacea_MC_10652,Eucalyptus_arenacea,Eucalyptus_arenacea
Eucalyptus_nitida_744,Eucalyptus_nitida,Eucalyptus_nitida
Eucalyptus_tenuiramis_CANB_692639,Eucalyptus_tenuiramis,Eucalyptus_tenuiramis
Eucalyptus_regnans_ANBG_8501815,Eucalyptus_regnans,Eucalyptus_regnans
Eucalyptus_mitchelliana_635,Eucalyptus_mitchelliana,Eucalyptus_mitchelliana
Eucalyptus_croajingolensis_156,Eucalyptus_croajingolensis,Eucalyptus_croajingolensis
Eucalyptus_willisii_subsp_willisii_CANB_468525,Eucalyptus_willisii_willisii,Eucalyptus_willisii
Eucalyptus_triflora_ANBG_763500,Eucalyptus_triflora,Eucalyptus_triflora
Eucalyptus_langleyi_8801319,Eucalyptus_langleyi,Eucalyptus_langleyi
Eucalyptus_sparsifolia_216,Eucalyptus_sparsifolia,Eucalyptus_sparsifolia
Eucalyptus_sieberi_ANBG_8411661,Eucalyptus_sieberi,Eucalyptus_sieberi
Eucalyptus_yangoura_AHT_E16,Eucalyptus_yangoura,Eucalyptus_yangoura
Eucalyptus_mackintii_308,Eucalyptus_mackintii,Eucalyptus_mackintii
Eucalyptus_multicaulis_761635,Eucalyptus_multicaulis,Eucalyptus_multicaulis
